provinsi;Kompensasi Tenaga Kerja;Pajak Neto Subsidi Atas Produksi;Surplus Usaha (termasuk pendapatan campuran) Bruto
Aceh;58579962.97768639;441824.9541103057;75532741.54828842
Bali;81563745.84265086;787017.2734015416;110475746.47477908
Banten;168363502.09835777;17576637.18829435;417294638.72042453
Bengkulu;22997564.084575385;839380.5107940743;30854949.515550297
DI Yogyakarta;51229895.207473055;5133256.1189914495;63939343.73738527
DKI Jakarta;915798933.7926117;112925354.58335991;1121316417.3847382
Gorontalo;13912257.210002054;464117.7973368385;15518485.31134336
Jambi;57626015.21770653;2215562.796928791;81120739.54165334
Jawa Barat;728509931.6253319;132248503.37178034;1008796738.207175
Jawa Tengah;402785274.10533535;45645971.57089263;600483536.2940606
Jawa Timur;798261190.7017114;158176341.11084038;927669869.5391898
Kalimantan Barat;44701655.2956326;3055085.6063831006;83344470.48744696
Kalimantan Selatan;39167822.54584985;1154127.245911841;122949183.4497004
Kalimantan Tengah;42128647.28298507;1498613.1728270925;72753095.34663175
Kalimantan Timur;134532618.78550625;24437626.163762704;333062953.9109949
Kalimantan Utara;29689741.494789843;2054607.6577753285;32382322.649839345
Kep. Bangka Belitung;29196334.75008217;2696469.4754004325;33548962.062409215
Kep. Riau;103466625.74304922;1715889.222806467;97543700.43363369
Lampung;101792151.81739934;3379362.585682895;157447233.68080923
Maluku;14609705.705617096;407620.0483383672;29323495.725894243
Maluku Utara;12472269.129441094;322831.8138280609;20036792.381857798
Nusa Tenggara Barat;58163236.06832634;2211659.492359232;60930993.52079699
Nusa Tenggara Timur;35496325.877591036;1295712.405668152;49837788.042301185
Papua;42462090.89224328;816537.8250195722;103085450.73883773
Papua Barat;22570556.26205957;-1693585.5977717596;46985494.49037873
Riau;204610931.81872997;5927989.799153566;353389940.0027609
Sulawesi Barat;12693944.23323599;220140.5943254029;19682573.022908155
Sulawesi Selatan;132214633.0140446;8120040.16364949;233681925.0117776
Sulawesi Tengah;40020811.70693124;733898.3941268926;73263946.33941497
Sulawesi Tenggara;33603416.512954354;2408710.46918138;51505955.18457214
Sulawesi Utara;55344213.26246538;4239042.285875239;49679838.08577004
Sumatera Barat;79519610.24452342;4078922.5792510984;101346389.2665001
Sumatera Selatan;142903610.95890796;2973008.3659484573;248546007.95095712
Sumatera Utara;219696238.3378957;15827929.038976181;323464449.6582358
