IPK;Skor tes;Status
2.96;596;Lanjut
3.14;473;Lanjut
3.22;482;Lanjut
3.29;527;Lanjut
3.69;505;Lanjut
3.46;693;Lanjut
3.03;626;Lanjut
3.19;663;Lanjut
3.63;447;Lanjut
3.59;588;Lanjut
3.3;563;Lanjut
3.4;553;Lanjut
3.5;572;Lanjut
3.78;591;Lanjut
3.44;692;Lanjut
3.48;528;Lanjut
3.47;552;Lanjut
3.35;520;Lanjut
3.39;543;Lanjut
3.28;523;Lanjut
3.21;530;Lanjut
3.58;564;Lanjut
3.33;565;Lanjut
3.4;431;Lanjut
3.38;605;Lanjut
3.26;664;Lanjut
3.6;609;Lanjut
3.37;559;Lanjut
3.8;521;Lanjut
3.76;646;Lanjut
3.24;467;Lanjut
2.54;446;Drop Out
2.43;425;Drop Out
2.2;474;Drop Out
2.36;531;Drop Out
2.57;542;Drop Out
2.35;406;Drop Out
2.51;412;Drop Out
2.51;458;Drop Out
2.36;399;Drop Out
2.36;482;Drop Out
2.66;420;Drop Out
2.68;414;Drop Out
2.48;533;Drop Out
2.46;509;Drop Out
2.63;504;Drop Out
2.44;336;Drop Out
2.13;408;Drop Out
2.41;469;Drop Out
2.55;538;Drop Out
2.31;505;Drop Out
2.41;489;Drop Out
2.19;411;Drop Out
2.35;321;Drop Out
2.6;394;Drop Out
2.55;528;Drop Out
2.72;399;Drop Out
2.85;381;Drop Out
2.9;384;Drop Out
2.86;494;Pindah
2.85;496;Pindah
3.14;419;Pindah
3.28;371;Pindah
2.89;447;Pindah
3.15;313;Pindah
3.5;402;Pindah
2.89;485;Pindah
2.8;444;Pindah
3.13;416;Pindah
3.01;471;Pindah
2.79;490;Pindah
2.89;431;Pindah
2.91;446;Pindah
2.75;546;Pindah
2.73;467;Pindah
3.12;463;Pindah
3.08;440;Pindah
3.03;419;Pindah
3;509;Pindah
3.03;438;Pindah
3.05;399;Pindah
2.85;483;Pindah
3.01;453;Pindah
3.03;414;Pindah
3.04;446;Pindah
